"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation"
"F.full","1.4442439573268e-32","0.0003304490453523","0.00235728054091592","0.887002361737277",0.600238742283741,"",0.453402698689342,"0.158274642661731","0.0121192299884034","0.97282146846536","0.272272448153764","","","0.621663539614717","0.816919424893258","","0.836724378916957","",""
"F.seeds","","0.00592018335957215","0.00480788743591686","0.935263409149598",0.385416618245296,"",0.681794422190882,"","","","","","","0.934198451218255","0.678613215907436","","0.718617300590052","",""
"F.crowns","","0.0493940692838378","0.360661216729377","0.810608498581026",0.55631531767233,"",0.909396357570621,"","","","","","","0.578569770232613","0.329153171015101","","0.668881097898247","",""
"F13.full","8.17379291356768e-21","","","0.349415987619729",0.283304240428799,"",0.247759351632386,"","","0.471564595049835","0.182425861184021","","","","","","0.191122287401938","",""
"F13.seeds","","","","0.390462966381659",0.252787783230029,"",0.348109180115118,"","","","","","","","","","0.237895290659049","",""
"F13.crowns","","","","0.611855252500014",0.538038984326807,"",0.48090628131355,"","","","","","","","","","0.392785230371783","",""
"F13.14.osu.full","2.35458193170013e-22","0.0597144192024498","","0.747684580253104",0.554144862245086,"",0.737039836251808,"0.993615864578146","","0.955579756183192","0.906901255177596","","","0.543202583894803","","","0.767925521004068","",""
"F13.14.osu.seeds","","0.358048158871591","","0.911440623773957",0.787675745971976,"",0.936750621156779,"","","","","","","0.553056461035392","","","0.635170574352545","",""
"F13.14.osu.crowns","","0.00928224082992767","","0.522528879306882",0.34985138250763,"",0.196786096636311,"","","","","","","0.805331019362575","","","0.294375908500147","",""
"F14.full","2.26860082009277e-21","","0.0125898511815974","",0.687862942613936,"0.214474241437222",0.729392023787254,"","0.044044598000185","","0.394505461049966","0.852582880960064","","","0.854419413490682","0.584774731902649","","","0.397627817786364"
"F14.seeds","","","0.0233225282415755","",0.503293438892206,"0.652181670764214",0.725984869244208,"","","","","","","","0.742710808622642","0.491269440330141","","","0.814073521255959"
"F14.crowns","","","0.434438070473269","",0.561890077629244,"0.159135485293771",0.830789550749347,"","","","","","","","0.416387977430697","0.490006485452273","","","0.0975325710374317"
"F14.osu.full","1.8878010542245e-09","","","0.622852727418438",0.765987245171097,"0.928350445049552",0.781588157469128,"","","0.986075599450062","0.588341208840518","0.552522835189486","","","","","0.699344068641391","0.61067314110902","0.110918677772211"
"F14.osu.seeds","","","","0.855921411045976",0.95860611924267,"0.835288526317282",0.897763904106239,"","","","","","","","","","0.561662295728543","0.810752180462781","0.129575301111557"
"F14.osu.crowns","","","","0.40662912048891",0.33296715304447,"0.72005837311643",0.304790481393593,"","","","","","","","","","0.360233756754973","0.228604262480176","0.6119633519615"
"F14.as.full","8.75874779420299e-07","","","",0.439564170379829,"0.171944093816303",0.659994139492391,"","","","0.238609550638144","0.443301943252049","","","","","","","0.529673987738573"
"F14.as.seeds","","","","",0.358666939549079,"0.197329448935563",0.236442775993605,"","","","","","","","","","","","0.668955105519873"
"F14.as.crowns","","","","",0.975322834302093,"0.546386693325097",0.814080549646731,"","","","","","","","","","","","0.30238856303902"
"F14.pc.full","2.75239314609199e-05","","","",0.63484014976447,"0.597302932037765",0.820445932804102,"","","","0.451278113865013","0.584163931525286","","","","","","","0.622992761356106"
"F14.pc.seeds","","","","",0.720237402144508,"0.805841537911828",0.646228627327582,"","","","","","","","","","","","0.128844108944228"
"F14.pc.crowns","","","","",0.246953522118351,"0.326831818532311",0.936189819865059,"","","","","","","","","","","","0.213265963602227"
