"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation","Residuals","Total","Percent_Explained"
"F.full","5.65963316151849","2.8205349254952","1.97446763064708","0.60021884210807",0.343439118251981,"",12.5650749729121,"2.85876436562078","1.5742171718123","0.612356451263022","0.385544182910099","","","0.265122788390851","0.75889457050971","","0.852430785023511","","",46.9754814507908,78.246180417254,39.9645053595073
"F.seeds","","2.05667143317253","2.24983095186595","0.509069057341709",0.328564697636212,"",7.28848604995848,"","","","","","","0.270471619349788","0.738616766877561","","0.995077912699202","","",20.2376863067527,34.6744747956541,41.6352044954718
"F.crowns","","3.71345493773349","1.73712188760219","0.683159260378239",0.401840223107057,"",11.9904643049395,"","","","","","","0.286059171046432","0.767714059174075","","0.666794386094846","","",17.6654642300055,37.9120724600814,53.4041188368007
"F13.full","4.03127607311198","","","0.247214979416813",0.231288266374359,"",1.40714116810646,"","","0.261325171721176","0.253616406302617","","","","","","0.401819115333333","","",10.831069228793,17.6647504091598,38.685410334602
"F13.seeds","","","","0.215571161293922",0.242772262887365,"",1.32560295984253,"","","","","","","","","","0.611265705455971","","",4.82578117071875,7.22099326019854,33.170119444398
"F13.crowns","","","","0.287511777225404",0.245457391774474,"",1.44121290742971,"","","","","","","","","","0.240548400476663","","",4.197750598943,6.41248107584925,34.537809167927
"F13.14.osu.full","3.6606257414538","2.46420529155681","","0.5995117112105",0.331777722962705,"",4.7923178692895,"2.75844790538485","","0.612631266208494","0.328768443451711","","","0.28608201113153","","","0.851059209886424","","",31.7715158550758,48.4569430276121,34.4335117529567
"F13.14.osu.seeds","","2.24952479252561","","0.50906905734171",0.342136030844752,"",4.58434731403003,"","","","","","","0.299324346956976","","","0.995077912699202","","",12.7770384910169,21.7565179454152,41.2725946170561
"F13.14.osu.crowns","","2.96146513501041","","0.683159260378239",0.317973991839432,"",5.11790791116877,"","","","","","","0.296917298864866","","","0.66679438609485","","",12.9955813573865,23.0397993407431,43.595075785207
"F14.full","4.57808827897262","","1.98692027504909","",0.368796966522209,"0.53946994768671",11.0580559678692,"","1.57353658951549","","0.413900913663095","0.592813205399555","","","0.75412054689934","1.05106758681956","","","0.342334713648185",34.5019298357093,57.7610348277543,40.2678121356458
"F14.seeds","","","2.24983095186595","",0.354817428420561,"0.758016556282856",5.86117229923058,"","","","","","","","0.725823344645264","1.27954289922542","","","0.310470659953724",13.8571359626587,25.396810102283,45.4374942882571
"F14.crowns","","","1.73712188760219","",0.422277528203934,"0.386590130205623",10.5446828575688,"","","","","","","","0.771717015674477","0.797916140309178","","","0.409444893964309",12.7163859929701,27.7861364464987,54.2347817320514
"F14.osu.full","2.37380993297342","","","0.350826242706126",0.376126686894,"0.761724461695829",3.39096356087844,"","","0.362968103054135","0.375560746028594","0.939243488310378","","","","","0.470278595240547","0.366301278034964","0.390902942311175",18.1669569174203,28.3256629555479,35.8639656698235
"F14.osu.seeds","","","","0.293497896047788",0.392898151198053,"1.30046595883272",3.12237555781704,"","","","","","","","","","0.381011509122748","0.376200605281829","0.410189190772862",6.00936102361801,12.2859998926911,51.087733386739
"F14.osu.crowns","","","","0.395647483152834",0.356915710745346,"0.419491837027765",3.69954767971676,"","","","","","","","","","0.428220218493105","0.402929185120217","0.43321571371218",7.52988530191522,13.6658531298834,44.8999983363684
"F14.as.full","2.17398695390303","","","",0.352322743595018,"0.366807207533221",4.66308150604452,"","","","0.387975323048921","0.374906261004682","","","","","","","0.372555862218833",6.26873638732043,14.9603722446687,58.0977245432219
"F14.as.seeds","","","","",0.329182276275217,"0.442114407033979",1.29168390408464,"","","","","","","","","","","","0.313318953300589",3.40264808081895,5.77894762151337,41.1199356064093
"F14.as.crowns","","","","",0.405700918786772,"0.312866005764219",4.35435590290973,"","","","","","","","","","","","0.453968178394952",1.48054666339658,7.00743766925226,78.87178262187
"F14.pc.full","1.97919056789073","","","",0.38243812934874,"0.382495743520285",2.57272816905848,"","","","0.393798064817516","0.359877793003548","","","","","","","0.346164937745094",6.0202525584798,12.4369459638642,51.5938030448008
"F14.pc.seeds","","","","",0.368864355003674,"0.31800572173744",1.41060090662676,"","","","","","","","","","","","0.255638041171709",2.72892261167309,5.08203163621267,46.3025260955126
"F14.pc.crowns","","","","",0.406300540780542,"0.428141458278988",2.56244143632498,"","","","","","","","","","","","0.397685046031839",1.58115527834445,5.3757237597608,70.5871181443518
